name,grams,kcal
"Kjøttpølse, Nordfjord",100,199
"Kjøttpølse, røkt/urøkt",100,201
Knakkpølse,100,256
"Kylling- og kalkunpølse, med mindre fett",100,168
"Kylling- og kalkunpølse, med ost",100,201
"Medisterpølse, røkt/urøkt, kokt",100,265
"Ostegrill, ostewiener",100,245
Reinsdyrpølse,100,426
"Salsiccia, italiensk pølse",100,271
"Sosisser, små pølser",100,258
Wienerpølse,100,211
"Wienerpølse, Finsbråten",100,201
"Wienerpølse, Gilde",100,215
"Wienerpølse, kalkun og kylling, Prior",100,144
"Wienerpølse, med mindre fett, Gilde",100,135
"Wienerpølse, X-tra",100,216
,,
Kjøttprodukter og kjøttpålegg,,
"Bayonneskinke, kokt",100,228
"Kalkunfilet, naturell/røkt",100,88
"Kalkunrull, krydderskinke",100,100
Kalverull,100,144
Karbonader,100,195
"Karbonader, First Price",100,207
"Karbonader, Gilde",100,128
"Karbonader, okse, rå",100,206
"Karbonader, Prima",100,196
"Karbonader, X-tra",100,247
Kjøttboller,100,202
"Kjøttboller, First Price",100,188
"Kjøttboller, hermetisk",100,138
"Kjøttboller, kalkun og kylling, Prior",100,141
"Kjøttboller, kylling, Coop",100,211
"Kjøttboller, svenske, Coop",100,221
"Kjøttboller, svenske, Gilde",100,198
Kjøttkaker,100,177
"Kjøttkaker, Gilde",100,156
"Kjøttkaker, Nordfjord",100,198
"Kjøttpudding, stekt",100,194
Kokt skinke,100,95
"Kokt skinke, First Price",100,104
"Kokt skinke, Gilde",100,100
"Kokt skinke, Nordfjord",100,80
Kyllingpostei,100,134
"Kyllingpostei, hermetisk, Stabburet",100,130
"Kyllingpostei, ovnsbakt, Prior",100,139
"Leverpostei, hermetisk",100,257
"Leverpostei, hermetisk, First Price",100,278
"Leverpostei, hermetisk, Stabburet",100,237
"Leverpostei, ovnsbakt",100,231
"Leverpostei, ovnsbakt, Gilde",100,217
"Leverpostei, ovnsbakt, Mills",100,246
"Medisterkaker, stekt",100,321
Morrpølse,100,417
Okserull,100,166
"Reinsdyrkaker, hermetisk",100,151
"Ribberull, skiver",100,193
"Roastbiff, skiver",100,129
Salami,100,429
"Salami, dansk, First Price",100,507
"Salami, dansk, Tulip",100,498
"Salami, Gilde spesialsalami",100,298
"Salami, Grilstad jubelsalami",100,414
"Salami, mager, Gilde",100,167
Servelat,100,198
"Servelat, Folkets",100,197
"Servelat, mager, Gilde",100,145
"Servelat, Nordfjord",100,181
"Servelat, X-tra",100,216
"Skinkerull, Westfalerskinke",100,286
Spekeskinke,100,203
"Spekeskinke, Gilde",100,203
"Spekeskinke, Strandaskinke, Grilstad",100,202
Stabburpølse,100,475
"Svinekam, røkt",83,209
Sylte,100,304
,,
Retter med fjørfe og kjøtt,,
Biff stroganoff,100,245
"Cheeseburger, med brød, dressing mv, kjøpt",100,273
Chili con carne,100,103
Fårikål av lammekjøtt,100,113
"Hamburger, dobbel, med brød, dressing mv, kjøpt",100,248
"Hamburger, ekstra kjøtt, med brød, dressing mv, kjøpt",100,235
"Hamburger, enkel, med brød, dressing mv, kjøpt",100,255
"Kjøttboller, kalkun og kylling",100,176
"Kyllingburger, med brød, dressing mv, kjøpt",100,250
"Kyllinggryte, med tomat, løk, sopp",100,79
"Kyllingnuggets, fritert, dagligvare",100,269
"Kyllingnuggets, fritert, fastfood",100,241
Lammefrikassé,100,118
"Lapskaus, lys, storfekjøtt, 10 % fett",100,95
"Lasagne, med kjøttdeig",100,163
"Lasagne, med kjøttdeig, fryst, kjøpt",100,122
"Moussaka, med kjøttdeig",100,155
"Panetter, med kylling og ost",100,209
"Pasta bolognese, hjemmelaget",100,114
"Pasta med kalkun, ostesaus, fryst, kjøpt",100,101
"Pasta med kjøttsaus, bolognese, fryst, kjøpt",100,96
"Pytt i panne, stekte poteter med kjøtt og løk, fryst, kjøpt",100,141
"Sodd, med kjøttboller, hermetisk",100,45
,,
Fisk og skalldyr,,
Fisk og fiskeprodukter,,
Fet fisk,,
"Fet fisk, rå",,
"Blåkveite, rå/kaldrøkt",100,155
"Brisling, rå",M,208
"Havål, rå",80,119
"Kveite, hellefisk, oppdrett, rå",M,102
"Kveite, hellefisk, rå",80,123
"Kveite, hellefisk, skiver, røkt, rå",M,211
"Kveite, hellefisk, uspesifisert, rå",M,113
"Laks, oppdrett, rå",M,224
"Laks, vill, rå",65,182
"Makrell, mai-juni, rå",50,123
"Makrell, vill (høst), rå",M,293
"Pigghå, håbrann, rå",M,129
"Røye, rå",78,128
"Sild, fetsild, sommersild, rå",60,293
"Sild, storsild, vintersild, rå",60,187
"Ørret, oppdrett, rå",M,166
"Ørret, sjøørret, rå",55,110
"Ål, rå",80,362
,,
"Fet fisk, tilberedt",,
"Kveite, filet, melpanert, stekt i fett",100,198
"Kveite, skiver, kokt",M,146
"Laks, filet, gravet",100,179
"Laks, filet, ovnsstekt",100,243
"Laks, filet, stekt i panne",100,263
"Laks, oppdrett, skiver, kokt",M,266
"Laks, oppdrett, skiver, stekt i fett",M,314
"Laks, røkt",90,225
"Laks, vill, kokt",M,217
"Makrell, juli-sept (fet), kokt",M,349
"Makrell, juli-sept (fet), stekt i fett",M,393
"Makrell, kaldrøkt",80,242
"Makrell, mai-juni, kokt",M,146
"Makrell, mai-juni, stekt i fett",M,198
"Makrell, varmrøkt",80,295
"Røye, melpanert, stekt i fett",M,204
"Røye, stekt uten fett",M,151
"Sild, fetsild/sommersild, kokt",M,349
"Sild, fetsild/sommersild, melpanert, stekt i fett",M,402
"Sild, kryddersild",100,154
"Sild, røkt, bøkling",65,200
"Sild, storsild/vintersild, kokt",M,223
"Sild, storsild/vintersild, melpanert, stekt i fett",M,280
"Spekesild, utvannet",100,210
"Ørret, filet, røkt",90,142
"Ørret, oppdrett, kokt",M,197
"Ørret, oppdrett, skiver, melpanert, stekt i fett",M,247
"Ørret, sjøørret, kokt",M,130
"Ørret, sjøørret, melpanert, stekt i fett",M,182
"Ål, røkt",90,351
,,
Mager fisk,,
"Mager fisk, rå",,
"Alaska pollock, rå",M,72
"Blålange, rå",M,64
"Breiflabb, rå",34,64
"Brosme, rå",50,66
"Gjedde, rå",55,83
"Horngjel, rå",58,107
"Hvitting, rå",M,79
"Hyse, kolje, røkt, skiver, rå",65,81
"Hyse, kolje, rå",50,68
"Håbrann, rå",M,85
"Lange, rå",40,72
"Lomre, rå",50,67
"Lyr, rå",50,66
"Pangasius, rå",M,63
"Piggvar, rå",50,85
"Rødspette, rå",58,91
"Sei, rå",50,69
"Sik, rå",49,89
"Sjøtunge, rå",33,64
"Skate, rå",M,58
"Steinbit, rå",50,97
"Torsk, i skiver, rå",70,75
"Torsk, lettsaltet i skiver, rå",80,75
"Torsk, oppdrett, rå",M,84
"Torsk, uspesifisert, rå",45,81
"Torsk, vill, rå",45,81
"Tunfisk, makrellstørje, rå",58,105
"Uer, lettsaltet, rå",45,94
"Uer, rå",90,94
"Åbor, abbor, rå",45,85
,,
"Mager fisk, tilberedt",,
"Breiflabb, filet, kokt",100,83
"Hyse, kolje, kokt",M,89
"Hyse, kolje, røkt, skiver, kokt",M,106
"Klippfisk, saltet og tørket",75,271
"Lutefisk, kokt",M,71
"Lutefisk, tørr vare, rå",M,50
"Rødspette, filet, kavringpanert, rå",100,150
"Rødspette, filet, kavringpanert, stekt i fett",100,220
"Rødspette, filet, kokt",100,118
"Rødspette, filet, melpanert, stekt i fett",100,160
"Rødspette, fylt, forfritert, fryst",100,205
"Rødspette, panert, forfritert, fylt, ovnsstekt uten fett",100,216
"Rødspette, panert, forfritert, fylt, stekt i fett",100,262
"Sei, filet, kavringpanert, rå",100,135
"Sei, filet, kavringpanert, stekt i fett",100,174
"Sei, filet, melpanert, stekt i fett",100,132
"Sei, filet, melpanert, stekt i hard margarin",100,129
"Sei, filet, melpanert, stekt i myk margarin",100,125
"Sei, filet, melpanert, stekt i smør",100,130
"Sei, filet, melpanert, stekt i soyaolje",100,137
"Sei, kokt",M,89
"Sei, panert, fryst, First Price",100,189
"Sei, panert, fryst, kjøpt",100,182
"Sei, pankopanert, fryst, Lerøy",100,175
"Seibiff, melpanert, med forstekt løk, fryst, kjøpt",100,103
"Seibiff, melpanert, med forstekt løk, kjøpt, stekt i fett",100,151
"Steinbit, filet, melpanert, stekt i fett",100,159
"Steinbit, kokt",100,126
"Torsk, filet, kavringpanert, rå",100,143
"Torsk, filet, kavringpanert, stekt i fett",100,202
"Torsk, filet, kokt",100,106
"Torsk, filet, melpanert, stekt i fett",100,146
"Torsk, filet, ovnsstekt",100,113
"Torsk, filet, stekt i panne",100,113
"Torsk, forfritert, fylt, fryst",100,143
"Torsk, lettsaltet, kokt",M,98
"Torsk, panert, Findus Steketorsk",100,135
"Torsk, panert, forfritert, fylt, ovnsstekt uten fett",100,151
"Torsk, panert, forfritert, fylt, stekt i fett",100,201
"Torsk, panert, forfritert, ovnsstekt uten fett",100,151
"Torsk, panert, forfritert, stekt i fett",100,202
"Torsk, skiver, kokt",M,94
Tørrfisk,M,327
"Uer, kokt",100,121
"Uer, lettsaltet, skiver, kokt",M,121
,,
Fiskeprodukter og fiskepålegg,,
"Ansjos, hermetisk",100,216
"Brisling, i olje, avrent, hermetisk",100,261
"Brisling, i tomat, hermetisk",100,203
"Fiskeboller, avrent, hermetisk",100,60
"Fiskeboller, kjølevare",100,68
"Fiskeburger, panert, med brød, ost, saus, kjøpt",100,242
"Fiskefarse, mager fisk, rå",100,62
"Fiskekaker, Coop",100,123
"Fiskekaker, Fiskemannen",100,96
"Fiskekaker, Godehav",100,110
"Fiskekaker, kjøpt",100,110
"Fiskekaker, Lofoten",100,110
"Fiskekarbonader, Berggren",100,116
"Fiskekarbonader, Fiskemannen",100,89
"Fiskekarbonader, Godehav",100,115
"Fiskekarbonader, kjøpt",100,107
"Fiskekarbonader, laks",100,240
"Fiskekarbonader, mager fisk",100,150
"Fiskekarbonader, makrell",100,226
"Fiskekarbonader, sei",100,149
"Fiskekarbonader, sild",100,253
"Fiskepaté, laks",100,231
"Fiskepaté, mager fisk",100,146
Fiskepudding,100,72
"Fiskepudding, fløtepudding",100,102
"Gaffelbiter, sild, hermetisk",100,240
"Kaviar, av lodderogn",100,109
"Kaviar, av torskerogn",100,413
Kaviarmix,100,542
"Kryddersild, innlagt, avrent",100,224
"Laksepålegg, 70 % laks, i beger, Stabbur-Laks",100,213
"Makrellfilet, i tomat, 50 % makrell, i beger",100,177
"Makrellfilet, i tomat, 60 % makrell, hermetisk",100,241
"Makrellfilet, i tomat, 70 % makrell, hermetisk",100,253
"Rogn, torsk, presset, hermetisk",100,125
"Rognleverpostei, Svolvær-/Lofotpostei",100,408
"Seilaks, i olje, avrent",100,159
"Sild, marinert, i majones/rømme",100,309
"Sild, marinert, sennepssild",100,250
"Surimi, LobNobs",100,91
"Sild, sursild, innlagt, avrent",100,190
"Tunfisk, i gele, hermetisk",100,70
"Tunfisk, i olje, avrent, hermetisk",100,259
"Tunfisk, i olje, ikke avrent, hermetisk",100,211
"Tunfisk, i vann, avrent, hermetisk",100,105
,,
"Retter med fisk, skalldyr o.l.",,
"Akkar, innbakt, forfritert, fryst",100,212
"Akkar, innbakt, forfritert, stekt i soyaolje",100,278
"Akkar, tiarmet blekksprut, kokt",78,150
"Fiskegrateng, Coop X-tra Fiskegrateng",100,117
"Fiskegrateng, Enghav Fiskegrateng med makaroni",100,118
"Fiskegrateng, Findus Familiens fiskegrateng",100,135
"Fiskegrateng, First Price Fiskegrateng med makaroni",100,109
"Fiskegrateng, kjøpt",100,119
"Fiskegrateng, med egg og makaroni, ovnsstekt",100,160
"Fiskegrateng, med egg, ovnsstekt, kjøpt",100,115
"Fiskegrateng, med egg, ovnsstekt",100,156
"Fiskegryte, med sei, løk og paprikasaus",100,98
"Fiskegryte, med torsk og tomat",100,83
"Fiskepinner, Findus",100,180
"Fiskepinner, forfritert, stekt i fett",100,241
"Fiskepinner, forfritert, stekt i hard margarin",100,194
"Fiskepinner, forfritert, stekt i matolje",100,198
"Fiskepinner, forfritert, stekt i myk margarin",100,195
"Fiskepinner, forfritert, stekt i smør",100,240
"Fiskesuppe, med laks, fryst",100,65
"Fiskesuppe, med mager fisk",100,45
"Fiskesuppe, med mager fisk, fryst",100,124
"Fiskesuppe, med mager fisk, jevnet",100,48
"Kabaret, med fiskepudding og reker",100,47
"Reker, innbakt, forfritert, fryst",100,225
"Reker, innbakt, forfritert, stekt i soyaolje",100,291
"Rogn, torsk, hermetisk, stekt i fett",100,230
"Sashimi, kveite",100,113
"Sashimi, laks",100,224
"Sashimi, tunfisk",100,105
"Sildesalat, med potet",100,77
"Sushi, maki, kveite",100,116
"Sushi, maki, laks",100,134
"Sushi, maki, tunfisk",100,115
"Sushi, nigiri, kveite",100,114
"Sushi, nigiri, laks",100,147
"Sushi, nigiri, tunfisk",100,112
,,
"Skalldyr, fiskeinnmat",,
"Akkar, tiarmet blekksprut, rå",78,77
"Blåskjell, avrent, hermetisk",100,103
"Blåskjell, rå",51,54
"Hummer, kokt",28,66
"Kamskjell, kokt",M,102
"Kamskjell, rå",M,81
"Kongereke, rå",M,77
"Krabbe, kokt",40,108
"Krabbe, naturell, hermetisk",100,108
"Krabbepinner, crabsticks, fryst",100,103
"Kreps, kokt",12,54
"Lever, torsk, rå",M,553
"Reker, i lake, avrent",100,58
"Reker, kokt",33,100
"Rogn, torsk, hermetisk, stekt i fett",100,230
